"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","HHWEALTH","TOT","PC_NDI","A","1995",264.1895,
"HUN","HHWEALTH","TOT","PC_NDI","A","1996",289.8627,
"HUN","HHWEALTH","TOT","PC_NDI","A","1997",306.5918,
"HUN","HHWEALTH","TOT","PC_NDI","A","1998",305.4271,
"HUN","HHWEALTH","TOT","PC_NDI","A","1999",325.9615,
"HUN","HHWEALTH","TOT","PC_NDI","A","2000",331.0537,
"HUN","HHWEALTH","TOT","PC_NDI","A","2001",322.6171,
"HUN","HHWEALTH","TOT","PC_NDI","A","2002",312.713,
"HUN","HHWEALTH","TOT","PC_NDI","A","2003",300.4218,
"HUN","HHWEALTH","TOT","PC_NDI","A","2004",290.0046,
"HUN","HHWEALTH","TOT","PC_NDI","A","2005",290.3378,
"HUN","HHWEALTH","TOT","PC_NDI","A","2006",303.8727,
"HUN","HHWEALTH","TOT","PC_NDI","A","2007",316.8001,
"HUN","HHWEALTH","TOT","PC_NDI","A","2008",311.3015,
"HUN","HHWEALTH","TOT","PC_NDI","A","2009",333.3477,
"HUN","HHWEALTH","TOT","PC_NDI","A","2010",335.4234,
"HUN","HHWEALTH","TOT","PC_NDI","A","2011",324.8904,
"HUN","HHWEALTH","TOT","PC_NDI","A","2012",339.2473,
"HUN","HHWEALTH","TOT","PC_NDI","A","2013",344.7383,
"HUN","HHWEALTH","TOT","PC_NDI","A","2014",351.9915,
"HUN","HHWEALTH","TOT","PC_NDI","A","2015",365.9498,
"HUN","HHWEALTH","TOT","PC_NDI","A","2016",370.7466,
"HUN","HHWEALTH","TOT","PC_NDI","A","2017",368.5851,
"HUN","HHWEALTH","TOT","PC_NDI","A","2018",365.488,
"HUN","HHWEALTH","TOT","PC_NDI","A","2019",369.2627,
"HUN","HHWEALTH","TOT","PC_NDI","A","2020",398.3629,
"SVK","HHWEALTH","TOT","PC_NDI","A","1995",487.4685,
"SVK","HHWEALTH","TOT","PC_NDI","A","1996",438.2662,
"SVK","HHWEALTH","TOT","PC_NDI","A","1997",411.173,
"SVK","HHWEALTH","TOT","PC_NDI","A","1998",394.8779,
"SVK","HHWEALTH","TOT","PC_NDI","A","1999",376.6545,
"SVK","HHWEALTH","TOT","PC_NDI","A","2000",364.1295,
"SVK","HHWEALTH","TOT","PC_NDI","A","2001",353.3061,
"SVK","HHWEALTH","TOT","PC_NDI","A","2002",320.5597,
"SVK","HHWEALTH","TOT","PC_NDI","A","2003",322.8451,
"SVK","HHWEALTH","TOT","PC_NDI","A","2004",312.9106,
"SVK","HHWEALTH","TOT","PC_NDI","A","2005",286.4735,
"SVK","HHWEALTH","TOT","PC_NDI","A","2006",299.7379,
"SVK","HHWEALTH","TOT","PC_NDI","A","2007",312.0525,
"SVK","HHWEALTH","TOT","PC_NDI","A","2008",312.3563,
"SVK","HHWEALTH","TOT","PC_NDI","A","2009",296.855,
"SVK","HHWEALTH","TOT","PC_NDI","A","2010",292.4047,
"SVK","HHWEALTH","TOT","PC_NDI","A","2011",287.9049,
"SVK","HHWEALTH","TOT","PC_NDI","A","2012",284.7117,
"SVK","HHWEALTH","TOT","PC_NDI","A","2013",289.596,
"SVK","HHWEALTH","TOT","PC_NDI","A","2014",291.7921,
"SVK","HHWEALTH","TOT","PC_NDI","A","2015",283.3779,
"SVK","HHWEALTH","TOT","PC_NDI","A","2016",283.8499,
"SVK","HHWEALTH","TOT","PC_NDI","A","2017",276.5871,
"SVK","HHWEALTH","TOT","PC_NDI","A","2018",263.3016,
"SVK","HHWEALTH","TOT","PC_NDI","A","2019",268.1356,
"SVK","HHWEALTH","TOT","PC_NDI","A","2020",286.2628,
"SVK","HHWEALTH","TOT","PC_NDI","A","2021",320.7675,
"EST","HHWEALTH","TOT","PC_NDI","A","1995",460.4277,
"EST","HHWEALTH","TOT","PC_NDI","A","1996",483.7042,
"EST","HHWEALTH","TOT","PC_NDI","A","1997",465.8854,
"EST","HHWEALTH","TOT","PC_NDI","A","1998",414.217,
"EST","HHWEALTH","TOT","PC_NDI","A","1999",432.0445,
"EST","HHWEALTH","TOT","PC_NDI","A","2000",390.5592,
"EST","HHWEALTH","TOT","PC_NDI","A","2001",376.1158,
"EST","HHWEALTH","TOT","PC_NDI","A","2002",382.0811,
"EST","HHWEALTH","TOT","PC_NDI","A","2003",367.1836,
"EST","HHWEALTH","TOT","PC_NDI","A","2004",360.3278,
"EST","HHWEALTH","TOT","PC_NDI","A","2005",321.1826,
"EST","HHWEALTH","TOT","PC_NDI","A","2006",292.884,
"EST","HHWEALTH","TOT","PC_NDI","A","2007",286.7571,
"EST","HHWEALTH","TOT","PC_NDI","A","2008",281.8183,
"EST","HHWEALTH","TOT","PC_NDI","A","2009",272.7921,
"EST","HHWEALTH","TOT","PC_NDI","A","2010",269.75,
"EST","HHWEALTH","TOT","PC_NDI","A","2011",270.96,
"EST","HHWEALTH","TOT","PC_NDI","A","2012",309.4561,
"EST","HHWEALTH","TOT","PC_NDI","A","2013",317.695,
"EST","HHWEALTH","TOT","PC_NDI","A","2014",325.0432,
"EST","HHWEALTH","TOT","PC_NDI","A","2015",311.8965,
"EST","HHWEALTH","TOT","PC_NDI","A","2016",318.9956,
"EST","HHWEALTH","TOT","PC_NDI","A","2017",326.9118,
"EST","HHWEALTH","TOT","PC_NDI","A","2018",326.8221,
"EST","HHWEALTH","TOT","PC_NDI","A","2019",339.2668,
"EST","HHWEALTH","TOT","PC_NDI","A","2020",350.5624,
"CZE","HHWEALTH","TOT","PC_NDI","A","1995",351.1074,
"CZE","HHWEALTH","TOT","PC_NDI","A","1996",341.7422,
"CZE","HHWEALTH","TOT","PC_NDI","A","1997",347.3976,
"CZE","HHWEALTH","TOT","PC_NDI","A","1998",366.1152,
"CZE","HHWEALTH","TOT","PC_NDI","A","1999",365.2494,
"CZE","HHWEALTH","TOT","PC_NDI","A","2000",351.8439,
"CZE","HHWEALTH","TOT","PC_NDI","A","2001",350.0538,
"CZE","HHWEALTH","TOT","PC_NDI","A","2002",351.0174,
"CZE","HHWEALTH","TOT","PC_NDI","A","2003",315.0665,
"CZE","HHWEALTH","TOT","PC_NDI","A","2004",314.6728,
"CZE","HHWEALTH","TOT","PC_NDI","A","2005",310.8621,
"CZE","HHWEALTH","TOT","PC_NDI","A","2006",307.8925,
"CZE","HHWEALTH","TOT","PC_NDI","A","2007",324.3956,
"CZE","HHWEALTH","TOT","PC_NDI","A","2008",325.3851,
"CZE","HHWEALTH","TOT","PC_NDI","A","2009",321.2091,
"CZE","HHWEALTH","TOT","PC_NDI","A","2010",329.783,
"CZE","HHWEALTH","TOT","PC_NDI","A","2011",339.2083,
"CZE","HHWEALTH","TOT","PC_NDI","A","2012",346.1972,
"CZE","HHWEALTH","TOT","PC_NDI","A","2013",359.2237,
"CZE","HHWEALTH","TOT","PC_NDI","A","2014",358.3165,
"CZE","HHWEALTH","TOT","PC_NDI","A","2015",364.5428,
"CZE","HHWEALTH","TOT","PC_NDI","A","2016",371.966,
"CZE","HHWEALTH","TOT","PC_NDI","A","2017",360.7545,
"CZE","HHWEALTH","TOT","PC_NDI","A","2018",362.0995,
"CZE","HHWEALTH","TOT","PC_NDI","A","2019",367.7457,
"CZE","HHWEALTH","TOT","PC_NDI","A","2020",392.228,
"CZE","HHWEALTH","TOT","PC_NDI","A","2021",389.5734,
"CZE","HHWEALTH","TOT","PC_NDI","A","2022",391.5965,
"AUS","HHWEALTH","TOT","PC_NDI","A","1995",319.0668,
"AUS","HHWEALTH","TOT","PC_NDI","A","1996",318.026,
"AUS","HHWEALTH","TOT","PC_NDI","A","1997",326.5153,
"AUS","HHWEALTH","TOT","PC_NDI","A","1998",341.7274,
"AUS","HHWEALTH","TOT","PC_NDI","A","1999",356.7737,
"AUS","HHWEALTH","TOT","PC_NDI","A","2000",354.5496,
"AUS","HHWEALTH","TOT","PC_NDI","A","2001",351.7931,
"AUS","HHWEALTH","TOT","PC_NDI","A","2002",354.5533,
"AUS","HHWEALTH","TOT","PC_NDI","A","2003",364.18,
"AUS","HHWEALTH","TOT","PC_NDI","A","2004",381.5799,
"AUS","HHWEALTH","TOT","PC_NDI","A","2005",404.574,
"AUS","HHWEALTH","TOT","PC_NDI","A","2006",411.6628,
"AUS","HHWEALTH","TOT","PC_NDI","A","2007",409.8888,
"AUS","HHWEALTH","TOT","PC_NDI","A","2008",332.4735,
"AUS","HHWEALTH","TOT","PC_NDI","A","2009",362.202,
"AUS","HHWEALTH","TOT","PC_NDI","A","2010",346.781,
"AUS","HHWEALTH","TOT","PC_NDI","A","2011",321.053,
"AUS","HHWEALTH","TOT","PC_NDI","A","2012",356.3329,
"AUS","HHWEALTH","TOT","PC_NDI","A","2013",365.8615,
"AUS","HHWEALTH","TOT","PC_NDI","A","2014",382.8694,
"AUS","HHWEALTH","TOT","PC_NDI","A","2015",402.2683,
"AUS","HHWEALTH","TOT","PC_NDI","A","2016",428.4666,
"AUS","HHWEALTH","TOT","PC_NDI","A","2017",439.0366,
"AUS","HHWEALTH","TOT","PC_NDI","A","2018",428.007,
"AUS","HHWEALTH","TOT","PC_NDI","A","2019",461.398,
"AUS","HHWEALTH","TOT","PC_NDI","A","2020",470.103,
"AUS","HHWEALTH","TOT","PC_NDI","A","2021",511.5431,
"SVN","HHWEALTH","TOT","PC_NDI","A","1995",309.9673,
"SVN","HHWEALTH","TOT","PC_NDI","A","1996",307.588,
"SVN","HHWEALTH","TOT","PC_NDI","A","1997",295.9495,
"SVN","HHWEALTH","TOT","PC_NDI","A","1998",298.3576,
"SVN","HHWEALTH","TOT","PC_NDI","A","1999",288.4484,
"SVN","HHWEALTH","TOT","PC_NDI","A","2000",279.7703,
"SVN","HHWEALTH","TOT","PC_NDI","A","2001",286.8105,
"SVN","HHWEALTH","TOT","PC_NDI","A","2002",287.8691,
